arm,covariate,mean_treated,mean_control,smd_crude,smd_weighted,balanced_after
radio_mastectomy,subtype=HR-/HER2+,0.08366533864541832,0.06306306306306306,0.078937603501186,-0.005314963602427802,True
radio_mastectomy,subtype=TNBC,0.18326693227091634,0.11411411411411411,0.19494156317420994,0.021103220703044098,True
radio_conserving,age,59.24545454545456,58.736000000000004,0.04288742522757471,-0.013020949217442084,True
radio_conserving,tumor_size_mm,17.272727272727273,18.08,-0.1148547370566632,-0.09046836660704324,True
radio_conserving,lymph_pos,0.7090909090909091,1.36,-0.20249134096326224,0.0018693399390758458,True
radio_conserving,stage,1.0909090909090908,1.12,-0.0894044394848797,0.03589931937266892,True
radio_conserving,grade,1.8363636363636364,1.76,0.1319502309698511,-0.012646766862942657,True
radio_conserving,er,0.9818181818181818,0.96,0.12810419722575683,-0.02439333570126884,True
radio_conserving,pr,0.9454545454545454,0.92,0.10034000951798012,0.007713532137588192,True
radio_conserving,her2,0.0,0.0,0.0,0.0,True
radio_conserving,menopause=Pre,0.20909090909090908,0.2,0.022260663399302338,0.042536243545162826,True
radio_conserving,subtype=HR+/HER2+,0.0,0.0,0.0,0.0,True
radio_conserving,subtype=HR-/HER2+,0.0,0.0,0.0,0.0,True
radio_conserving,subtype=TNBC,0.0,0.0,0.0,0.0,True
